test_id,weight,k,l1,l2,tukey,tukey_lambda,seed,kmeans,accuracy
343,uniform,1,5,0,True,1,200,50,86.67
344,uniform,1,5,0,True,1,300,50,86.6
345,uniform,1,5,0,True,1,400,50,86.85000000000001
346,uniform,1,5,0,True,1,200,100,86.89
347,uniform,1,5,0,True,1,300,100,86.56
348,uniform,1,5,0,True,1,400,100,86.91000000000001
349,uniform,1,5,0.5,True,1,200,10,86.69
350,uniform,1,5,0.5,True,1,300,10,87.04
351,uniform,1,5,0.5,True,1,400,10,86.75
352,uniform,1,5,0.5,True,1,200,25,86.93
353,uniform,1,5,0.5,True,1,300,25,86.84
354,uniform,1,5,0.5,True,1,400,25,86.76
355,uniform,1,5,0.5,True,1,200,50,86.67
356,uniform,1,5,0.5,True,1,300,50,86.6
357,uniform,1,5,0.5,True,1,400,50,86.85000000000001
358,uniform,1,5,0.5,True,1,200,100,86.89
359,uniform,1,5,0.5,True,1,300,100,86.56
360,uniform,1,5,0.5,True,1,400,100,86.91000000000001
361,uniform,1,5,1,True,1,200,10,86.7
362,uniform,1,5,1,True,1,300,10,87.04
363,uniform,1,5,1,True,1,400,10,86.75
364,uniform,1,5,1,True,1,200,25,86.93
365,uniform,1,5,1,True,1,300,25,86.84
366,uniform,1,5,1,True,1,400,25,86.76
367,uniform,1,5,1,True,1,200,50,86.67
368,uniform,1,5,1,True,1,300,50,86.6
369,uniform,1,5,1,True,1,400,50,86.85000000000001
370,uniform,1,5,1,True,1,200,100,86.89
371,uniform,1,5,1,True,1,300,100,86.56
372,uniform,1,5,1,True,1,400,100,86.91000000000001
373,uniform,1,5,2,True,1,200,10,86.7
374,uniform,1,5,2,True,1,300,10,87.04
375,uniform,1,5,2,True,1,400,10,86.75
376,uniform,1,5,2,True,1,200,25,86.93
377,uniform,1,5,2,True,1,300,25,86.84
378,uniform,1,5,2,True,1,400,25,86.76
379,uniform,1,5,2,True,1,200,50,86.67
380,uniform,1,5,2,True,1,300,50,86.6
381,uniform,1,5,2,True,1,400,50,86.85000000000001
382,uniform,1,5,2,True,1,200,100,86.88
383,uniform,1,5,2,True,1,300,100,86.56
384,uniform,1,5,2,True,1,400,100,86.91000000000001
385,uniform,1,5,2.5,True,1,200,10,86.7
386,uniform,1,5,2.5,True,1,300,10,87.04
387,uniform,1,5,2.5,True,1,400,10,86.75
388,uniform,1,5,2.5,True,1,200,25,86.93
389,uniform,1,5,2.5,True,1,300,25,86.84
390,uniform,1,5,2.5,True,1,400,25,86.76
391,uniform,1,5,2.5,True,1,200,50,86.67
392,uniform,1,5,2.5,True,1,300,50,86.6
393,uniform,1,5,2.5,True,1,400,50,86.85000000000001
394,uniform,1,5,2.5,True,1,200,100,86.88
395,uniform,1,5,2.5,True,1,300,100,86.56
396,uniform,1,5,2.5,True,1,400,100,86.9
397,uniform,1,5,5,True,1,200,10,86.71000000000001
398,uniform,1,5,5,True,1,300,10,87.09
399,uniform,1,5,5,True,1,400,10,86.75
400,uniform,1,5,5,True,1,200,25,86.96000000000001
401,uniform,1,5,5,True,1,300,25,86.81
402,uniform,1,5,5,True,1,400,25,86.73
403,uniform,1,5,5,True,1,200,50,86.64
404,uniform,1,5,5,True,1,300,50,86.59
405,uniform,1,5,5,True,1,400,50,86.84
406,uniform,1,5,5,True,1,200,100,86.84
407,uniform,1,5,5,True,1,300,100,86.5
408,uniform,1,5,5,True,1,400,100,86.91000000000001
409,uniform,1,5,10,True,1,200,10,86.68
410,uniform,1,5,10,True,1,300,10,87.05000000000001
411,uniform,1,5,10,True,1,400,10,86.74000000000001
412,uniform,1,5,10,True,1,200,25,86.93
413,uniform,1,5,10,True,1,300,25,86.85000000000001
414,uniform,1,5,10,True,1,400,25,86.77
415,uniform,1,5,10,True,1,200,50,86.68
416,uniform,1,5,10,True,1,300,50,86.61000000000001
417,uniform,1,5,10,True,1,400,50,86.85000000000001
418,uniform,1,5,10,True,1,200,100,86.88
419,uniform,1,5,10,True,1,300,100,86.55000000000001
420,uniform,1,5,10,True,1,400,100,86.89
421,uniform,1,10,0,True,1,200,10,86.65
422,uniform,1,10,0,True,1,300,10,87.05000000000001
423,uniform,1,10,0,True,1,400,10,86.63000000000001
424,uniform,1,10,0,True,1,200,25,86.87
425,uniform,1,10,0,True,1,300,25,86.6
426,uniform,1,10,0,True,1,400,25,86.62
427,uniform,1,10,0,True,1,200,50,86.51
428,uniform,1,10,0,True,1,300,50,86.69
429,uniform,1,10,0,True,1,400,50,86.75
430,uniform,1,10,0,True,1,200,100,86.9
